playerId;playerName;country;height;weight;season_exp;jersey;position
1630639;A.J. Lawson;Canada;06-jun;179;0;9;Guard
1631260;AJ Green;USA;06-may;190;0;20;Guard
1631100;AJ Griffin;USA;06-jun;220;0;14;Forward
203932;Aaron Gordon;USA;06-ago;235;8;50;Forward
1628988;Aaron Holiday;USA;6-0;185;4;3;Guard
1630174;Aaron Nesmith;USA;06-may;215;2;23;Guard-Forward
1630598;Aaron Wiggins;USA;06-may;190;1;21;Guard
1629678;Admiral Schofield;United Kingdom;06-may;241;2;25;Forward
201143;Al Horford;Dominican Republic;06-sep;240;15;42;Center-Forward
202692;Alec Burks;USA;06-jun;214;11;5;Guard
1630197;Aleksej Pokusevski;Serbia;7-0;210;2;17;Forward
1627936;Alex Caruso;USA;06-may;186;5;6;Guard
203458;Alex Len;Ukraine;07-feb;250;9;25;Center
1628993;Alize Johnson;USA;06-ago;212;4;;Forward
1631214;Alondes Williams;USA;06-abr;210;0;;Guard
1630578;Alperen Sengun;Turkey;06-nov;243;1;28;Center
1629599;Amir Coffey;USA;06-jul;210;3;7;Guard-Forward
203083;Andre Drummond;USA;06-nov;279;10;3;Center
2738;Andre Iguodala;USA;06-jun;215;18;9;Guard-Forward
1629614;Andrew Nembhard;Canada;06-mar;191;0;2;Guard-Forward
203952;Andrew Wiggins;Canada;06-jul;197;8;22;Forward
1629014;Anfernee Simons;USA;06-mar;181;4;1;Guard
203076;Anthony Davis;USA;06-oct;253;10;3;Forward-Center
1630162;Anthony Edwards;USA;06-abr;225;2;1;Guard
1630264;Anthony Gill;USA;06-ago;230;2;16;Forward
1630237;Anthony Lamb;USA;06-jun;227;2;40;Forward
1630559;Austin Reaves;USA;06-may;197;1;15;Guard
203085;Austin Rivers;USA;06-abr;200;10;25;Guard
1630245;Ayo Dosunmu;USA;06-may;200;1;12;Guard
1628389;Bam Adebayo;USA;06-sep;255;5;13;Center-Forward
1627732;Ben Simmons;Australia;06-oct;240;4;10;Guard-Forward
1631097;Bennedict Mathurin;Canada;06-may;210;0;0;Guard-Forward
202687;Bismack Biyombo;DRC;06-ago;255;11;18;Center
201933;Blake Griffin;USA;06-sep;250;12;91;Forward
1631104;Blake Wesley;USA;06-abr;185;0;14;Guard
1626246;Boban Marjanovic;Serbia;07-abr;290;7;51;Center
1626171;Bobby Portis;USA;06-nov;250;7;9;Forward
203992;Bogdan Bogdanovic;Serbia;06-may;225;5;13;Guard
202711;Bojan Bogdanovic;Croatia;06-jul;226;8;44;Forward
1629626;Bol Bol;Sudan;07-feb;220;3;10;Center-Forward
1630538;Bones Hyland;USA;06-feb;169;1;5;Guard
203078;Bradley Beal;USA;06-abr;207;10;3;Guard
1630527;Brandon Boston Jr.;USA;06-jun;188;1;4;Guard
1629634;Brandon Clarke;Canada;06-ago;215;3;15;Forward
1627742;Brandon Ingram;USA;06-ago;190;6;14;Forward
1630296;Braxton Key;USA;06-ago;225;1;;Forward
201572;Brook Lopez;USA;07-ene;282;14;11;Center
1628971;Bruce Brown;USA;06-abr;202;4;11;Guard-Forward
1628981;Bruno Fernando;Angola;06-oct;240;3;0;Forward-Center
1631121;Bryce McGowens;USA;06-jun;175;0;7;Guard
1627854;Bryn Forbes;USA;06-feb;205;6;;Guard
1631205;Buddy Boeheim;USA;06-jun;205;0;27;Forward
1627741;Buddy Hield;Bahamas;06-abr;220;6;24;Guard
203468;CJ McCollum;USA;06-mar;190;9;3;Guard
1630595;Cade Cunningham;USA;06-jul;220;1;2;Guard
1631216;Caleb Houstan;Canada;06-ago;205;0;2;Guard
1628997;Caleb Martin;USA;06-may;205;3;16;Forward
1629629;Cam Reddish;USA;06-jul;217;3;5;Forward-Guard
1630560;Cam Thomas;Japan;06-mar;210;1;24;Guard
1629661;Cameron Johnson;USA;06-ago;210;3;2;Forward
1626166;Cameron Payne;USA;06-ene;183;7;15;Guard
1627747;Caris LeVert;USA;06-jun;205;6;3;Guard
1630637;Carlik Jones;USA;6-0;174;1;22;Guard
1626224;Cedi Osman;Turkey;06-jul;230;5;16;Forward
1628435;Chance Comanche;USA;06-oct;210;0;;Center
1629646;Charles Bassey;Nigeria;06-sep;230;1;28;Center-Forward
1631320;Chima Moneke;Nigeria;06-may;223;0;;Forward
1629002;Chimezie Metu;USA;06-sep;225;4;7;Forward-Center
1628449;Chris Boucher;Saint Lucia;06-sep;200;5;25;Forward-Center
1630537;Chris Duarte;Dominican Republic;06-may;190;1;3;Guard
101108;Chris Paul;USA;6-0;175;17;3;Guard
1629735;Chris Silva;Gabon;06-ago;234;3;;Forward
1631128;Christian Braun;USA;06-jun;220;0;0;Guard
1631132;Christian Koloko;Cameroon;7-0;230;0;35;Center
1626174;Christian Wood;USA;06-sep;214;6;35;Forward
1629643;Chuma Okeke;USA;06-ago;229;2;3;Forward
203991;Clint Capela;Switzerland;06-oct;256;8;15;Center
1629632;Coby White;USA;06-may;195;3;0;Guard
1628998;Cody Martin;USA;06-jun;205;3;11;Forward
203469;Cody Zeller;USA;06-nov;240;9;44;Forward-Center
1630175;Cole Anthony;USA;06-mar;185;2;50;Guard
1631306;Cole Swider;USA;06-sep;220;0;20;Forward
1629012;Collin Sexton;USA;06-feb;190;4;2;Guard
1630557;Corey Kispert;USA;06-jun;224;1;24;Forward
202709;Cory Joseph;Canada;06-mar;200;11;18;Guard
1626156;D'Angelo Russell;USA;06-abr;193;7;1;Guard
1630227;Daishen Nix;USA;06-abr;226;1;15;Guard
1630625;Dalano Banton;Canada;06-jul;204;1;45;Forward
