playerId;playerName;country;height;weight;season_exp;jersey;position
1627736;Malik Beasley;USA;06-abr;187;6;5;Guard
1628370;Malik Monk;USA;06-mar;200;5;0;Guard
1629603;Mamadi Diakite;Guinea;06-sep;228;2;21;Forward
1630699;MarJon Beauchamp;USA;06-jul;199;0;0;Forward
202694;Marcus Morris Sr.;USA;06-ago;218;11;8;Forward
203935;Marcus Smart;USA;06-abr;220;8;36;Guard
1631109;Mark Williams;USA;7-0;240;0;5;Center
1628365;Markelle Fultz;USA;06-abr;209;5;20;Guard
202693;Markieff Morris;USA;06-sep;245;11;13;Forward
1630250;Marko Simonovic;Montenegro;7-0;220;1;19;Center
1628963;Marvin Bagley III;USA;06-oct;235;4;35;Forward
203486;Mason Plumlee;USA;7-0;254;9;44;Forward-Center
1629680;Matisse Thybulle;USA;06-may;201;3;4;Guard-Forward
1630346;Matt Ryan;USA;06-jun;215;1;37;Forward
203521;Matthew Dellavedova;Australia;06-mar;200;8;8;Guard
1631108;Max Christie;USA;06-may;190;0;10;Guard
1629622;Max Strus;USA;06-may;215;3;31;Guard-Forward
1628467;Maxi Kleber;Germany;06-oct;240;5;42;Forward
1630593;McKinley Wright IV;USA;05-nov;192;1;23;Guard
203086;Meyers Leonard;USA;7-0;260;9;3;Forward-Center
1629662;Mfiondu Kabengele;Canada;06-oct;250;2;28;Center
1630695;Micah Potter;USA;06-ago;248;1;25;Center
203487;Michael Carter-Williams;USA;06-may;190;8;11;Guard
1630701;Michael Foster Jr.;USA;06-ago;250;0;;Forward
1629008;Michael Porter Jr.;USA;06-oct;218;3;1;Forward
1628969;Mikal Bridges;USA;06-jun;209;4;1;Guard-Forward
201144;Mike Conley;USA;06-ene;175;15;10;Guard
203488;Mike Muscala;USA;06-nov;240;9;57;Forward-Center
1630540;Miles McBride;USA;06-feb;195;1;2;Guard
1629011;Mitchell Robinson;USA;7-0;240;4;23;Center-Forward
1628964;Mo Bamba;USA;7-0;231;4;12;Center
1628420;Monte Morris;USA;06-feb;183;5;22;Guard
1626149;Montrezl Harrell;USA;06-jul;240;7;5;Forward-Center
1629021;Moritz Wagner;Germany;06-nov;245;4;21;Forward-Center
1629650;Moses Brown;USA;07-feb;245;3;;Center
1630541;Moses Moody;USA;06-may;211;1;4;Guard
1631217;Moussa Diabate;France;06-oct;210;0;25;Forward
1626167;Myles Turner;USA;06-nov;250;7;33;Center-Forward
1630230;Naji Marshall;USA;06-jul;220;2;8;Forward
1629642;Nassir Little;USA;06-may;220;3;10;Forward-Guard
1630233;Nathan Knight;USA;06-ago;253;2;13;Forward-Center
1629675;Naz Reid;USA;06-sep;264;3;11;Center-Forward
1629674;Neemias Queta;Portugal;7-0;248;1;88;Center
203457;Nerlens Noel;USA;06-oct;220;8;;Center-Forward
1629651;Nic Claxton;USA;06-nov;215;3;33;Center
1630208;Nick Richards;Jamaica;7-0;245;2;4;Center
1629638;Nickeil Alexander-Walker;Canada;06-may;205;3;9;Guard
201587;Nicolas Batum;France;06-ago;230;14;33;Guard-Forward
203999;Nikola Jokic;Serbia;06-nov;284;7;15;Center
1631107;Nikola Jovic;Serbia;06-oct;205;0;5;Forward
202696;Nikola Vucevic;Montenegro;06-oct;260;11;9;Center
203943;Noah Vonleh;USA;06-oct;257;7;;Forward
1626181;Norman Powell;USA;06-abr;215;7;24;Guard
1628384;O.G. Anunoby;United Kingdom;06-jul;232;5;3;Forward
1630167;Obi Toppin;USA;06-sep;220;2;1;Forward
1630534;Ochai Agbaji;USA;06-may;215;0;30;Guard
1630846;Olivier Sarr;France;06-nov;240;1;30;Center
1630209;Omer Yurtseven;Turkey;06-nov;275;1;77;Center
1630168;Onyeka Okongwu;USA;06-sep;240;2;17;Forward-Center
1631115;Orlando Robinson;USA;06-oct;235;0;25;Center
1629052;Oshae Brissett;Canada;06-jul;210;3;12;Forward-Guard
203490;Otto Porter Jr.;USA;06-ago;198;9;32;Forward
1631172;Ousmane Dieng;France;06-sep;185;0;13;Forward
200782;P.J. Tucker;USA;06-may;245;11;17;Forward
1629023;P.J. Washington;USA;06-jul;230;3;25;Forward
1628408;PJ Dozier;USA;06-jun;205;5;35;Guard-Forward
1631094;Paolo Banchero;USA;06-oct;250;0;5;Forward
1627783;Pascal Siakam;Cameroon;06-ago;230;6;43;Forward
1626192;Pat Connaughton;USA;06-may;209;7;24;Guard
1631116;Patrick Baldwin Jr.;USA;06-sep;220;0;7;Forward
201976;Patrick Beverley;USA;06-feb;180;10;21;Guard
1630172;Patrick Williams;USA;06-jul;215;2;44;Forward
201988;Patty Mills;Australia;6-0;180;13;8;Guard
202331;Paul George;USA;06-ago;220;12;13;Forward
1630194;Paul Reed;USA;06-sep;210;2;44;Forward
1630202;Payton Pritchard;USA;06-ene;195;2;11;Guard
1631212;Peyton Watson;USA;06-jul;200;0;8;Guard
1630173;Precious Achiuwa;Nigeria;06-ago;225;2;5;Forward
1629656;Quentin Grimes;USA;06-may;210;1;6;Guard
1631245;Quenton Jackson;USA;06-may;173;0;29;Guard
1630181;R.J. Hampton;USA;06-abr;175;2;14;Guard
1629628;RJ Barrett;Canada;06-jun;214;3;9;Forward-Guard
1630564;RaiQuan Gray;USA;06-jul;269;0;0;Forward
203526;Raul Neto;Brazil;06-feb;180;7;19;Guard
203493;Reggie Bullock;USA;06-jun;205;9;25;Guard-Forward
202704;Reggie Jackson;USA;06-feb;208;11;7;Guard
1626158;Richaun Holmes;USA;06-ago;235;7;22;Forward
201937;Ricky Rubio;Spain;06-feb;190;11;13;Guard
203496;Robert Covington;USA;06-jul;209;9;23;Forward
1629057;Robert Williams III;USA;06-sep;237;4;44;Center-Forward
201577;Robin Lopez;USA;7-0;281;14;33;Center
