game_id;team_id;period1Score;period2Score;period3Score;period4Score
'0022200173';1610612737;29;17;34;24
'0022200173';1610612755;20;22;24;29
'0022200526';1610612761;20;23;32;31
'0022200526';1610612763;30;27;36;26
'0022200566';1610612753;31;39;25;31
'0022200566';1610612760;28;25;35;27
'0022201220';1610612752;45;26;36;29
'0022201220';1610612754;41;32;27;41
'0022200104';1610612748;33;25;28;30
'0022200104';1610612744;24;32;38;15
'0022201193';1610612749;28;21;30;26
'0022201193';1610612741;21;30;25;16
'0022200813';1610612762;37;25;23;26
'0022200813';1610612742;25;35;29;35
'0022200320';1610612743;44;30;22;24
'0022200320';1610612745;24;23;25;28
'0022200543';1610612763;31;22;30;33
'0022200543';1610612740;25;25;29;22
'0022200888';1610612753;28;19;33;28
'0022200888';1610612765;26;20;33;27
'0022200377';1610612766;20;29;22;31
'0022200377';1610612752;22;33;34;32
'0022201132';1610612761;24;29;31;22
'0022201132';1610612748;23;24;20;25
'0022200511';1610612760;38;32;25;35
'0022200511';1610612759;33;27;33;21
'0022201069';1610612757;30;25;28;19
'0022201069';1610612746;36;23;34;24
'0022200591';1610612759;30;27;32;27
'0022200591';1610612738;33;35;25;28
'0022200070';1610612765;29;38;27;18
'0022200070';1610612737;35;34;37;30
'0022200014';1610612758;23;32;29;24
'0022200014';1610612757;32;19;33;31
'0022200580';1610612754;26;28;27;27
'0022200580';1610612757;29;26;27;17
'0022200363';1610612753;14;26;31;28
'0022200363';1610612746;32;17;29;21
'0022200708';1610612741;17;40;21;33
'0022200708';1610612737;21;27;30;22
'0022201053';1610612757;24;24;22;42
'0022201053';1610612738;32;31;26;37
'0022200414';1610612766;33;36;28;30
'0022200414';1610612765;35;38;34;20
'0022200842';1610612740;28;28;26;25
'0022200842';1610612739;38;35;28;17
'0022200664';1610612747;37;36;29;38
'0022200664';1610612745;35;26;37;34
'0022200727';1610612757;19;47;36;32
'0022200727';1610612762;31;33;27;33
'0022200401';1610612745;19;31;24;23
'0022200401';1610612749;25;23;31;13
'0022200096';1610612766;34;33;18;23
'0022200096';1610612758;24;28;37;26
'0022200116';1610612757;23;22;27;34
'0022200116';1610612763;30;22;26;33
'0022200066';1610612751;23;36;25;28
'0022200066';1610612742;30;31;29;22
'0022200856';1610612761;31;0;22;31
'0022200856';1610612765;29;0;23;25
'0022200316';1610612752;20;25;26;32
'0022200316';1610612749;22;25;27;35
'0022200349';1610612764;27;23;31;38
'0022200349';1610612747;33;35;37;25
'0022200963';1610612741;35;25;29;33
'0022200963';1610612754;30;37;28;30
'0022200987';1610612748;30;23;29;18
'0022200987';1610612739;26;31;30;17
'0022201022';1610612748;33;23;34;29
'0022201022';1610612762;26;31;33;25
'0022200240';1610612756;28;27;35;26
'0022200240';1610612752;22;31;22;20
'0022200029';1610612754;25;27;36;36
'0022200029';1610612765;35;21;23;36
'0022200298';1610612749;41;32;31;20
'0022200298';1610612742;33;29;34;19
'0022200032';1610612741;25;29;25;17
'0022200032';1610612739;34;36;23;35
'0022200705';1610612757;26;45;20;21
'0022200705';1610612747;33;13;40;35
'0022200291';1610612750;27;29;33;25
'0022200291';1610612744;47;29;33;28
'0022200766';1610612741;32;26;26;19
'0022200766';1610612746;20;34;31;23
'0022201034';1610612757;33;22;26;26
'0022201034';1610612752;20;29;42;32
'0022200252';1610612750;30;17;37;21
'0022200252';1610612748;33;27;19;22
'0022201007';1610612753;34;24;23;27
'0022201007';1610612748;24;31;23;30
'0022200918';1610612743;35;31;31;23
'0022200918';1610612746;22;36;30;32
'0022200459';1610612756;38;30;31;31
'0022200459';1610612747;24;20;33;27
'0022201162';1610612740;21;34;36;31
'0022201162';1610612746;31;25;34;24
'0022200171';1610612758;34;35;28;30
'0022200171';1610612739;29;29;35;27
'0022200951';1610612760;34;33;30;33
'0022200951';1610612762;29;23;32;19
'0022201028';1610612764;38;23;33;23
'0022201028';1610612765;20;25;27;25
'0022200106';1610612756;24;30;30;32
'0022200106';1610612750;20;27;26;34
'0022200657';1610612749;32;33;28;39
'0022200657';1610612754;38;38;22;21
'0022200590';1610612747;37;33;28;32
'0022200590';1610612737;28;21;33;32
'0022200755';1610612749;37;25;44;29
'0022200755';1610612740;19;25;44;22
'0022200909';1610612762;24;31;30;33
'0022200909';1610612759;33;32;14;23
'0022200153';1610612750;29;23;28;27
'0022200153';1610612752;38;38;27;17
