game_id;team_id;period1Score;period2Score;period3Score;period4Score
22200377;1610612766;20;29;22;31
22200377;1610612752;22;33;34;32
22201132;1610612761;24;29;31;22
22201132;1610612748;23;24;20;25
22200511;1610612760;38;32;25;35
22200511;1610612759;33;27;33;21
22201069;1610612757;30;25;28;19
22201069;1610612746;36;23;34;24
22200591;1610612759;30;27;32;27
22200591;1610612738;33;35;25;28
22200070;1610612765;29;38;27;18
22200070;1610612737;35;34;37;30
22200014;1610612758;23;32;29;24
22200014;1610612757;32;19;33;31
22200580;1610612754;26;28;27;27
22200580;1610612757;29;26;27;17
22200363;1610612753;14;26;31;28
22200363;1610612746;32;17;29;21
22200708;1610612741;17;40;21;33
22200708;1610612737;21;27;30;22
22201053;1610612757;24;24;22;42
22201053;1610612738;32;31;26;37
22200414;1610612766;33;36;28;30
22200414;1610612765;35;38;34;20
22200842;1610612740;28;28;26;25
22200842;1610612739;38;35;28;17
22200664;1610612747;37;36;29;38
22200664;1610612745;35;26;37;34
22200727;1610612757;19;47;36;32
22200727;1610612762;31;33;27;33
22200401;1610612745;19;31;24;23
22200401;1610612749;25;23;31;13
22200096;1610612766;34;33;18;23
22200096;1610612758;24;28;37;26
22200116;1610612757;23;22;27;34
22200116;1610612763;30;22;26;33
22200066;1610612751;23;36;25;28
22200066;1610612742;30;31;29;22
22200856;1610612761;31;0;22;31
22200856;1610612765;29;0;23;25
22200316;1610612752;20;25;26;32
22200316;1610612749;22;25;27;35
22200349;1610612764;27;23;31;38
22200349;1610612747;33;35;37;25
22200963;1610612741;35;25;29;33
22200963;1610612754;30;37;28;30
22200987;1610612748;30;23;29;18
22200987;1610612739;26;31;30;17
22201022;1610612748;33;23;34;29
22201022;1610612762;26;31;33;25
22200240;1610612756;28;27;35;26
22200240;1610612752;22;31;22;20
22200029;1610612754;25;27;36;36
22200029;1610612765;35;21;23;36
22200298;1610612749;41;32;31;20
22200298;1610612742;33;29;34;19
22200032;1610612741;25;29;25;17
22200032;1610612739;34;36;23;35
22200705;1610612757;26;45;20;21
22200705;1610612747;33;13;40;35
22200291;1610612750;27;29;33;25
22200291;1610612744;47;29;33;28
22200766;1610612741;32;26;26;19
22200766;1610612746;20;34;31;23
22201034;1610612757;33;22;26;26
22201034;1610612752;20;29;42;32
22200252;1610612750;30;17;37;21
22200252;1610612748;33;27;19;22
22201007;1610612753;34;24;23;27
22201007;1610612748;24;31;23;30
22200918;1610612743;35;31;31;23
22200918;1610612746;22;36;30;32
22200459;1610612756;38;30;31;31
22200459;1610612747;24;20;33;27
22201162;1610612740;21;34;36;31
22201162;1610612746;31;25;34;24
22200171;1610612758;34;35;28;30
22200171;1610612739;29;29;35;27
22200951;1610612760;34;33;30;33
22200951;1610612762;29;23;32;19
22201028;1610612764;38;23;33;23
22201028;1610612765;20;25;27;25
22200106;1610612756;24;30;30;32
22200106;1610612750;20;27;26;34
22200657;1610612749;32;33;28;39
22200657;1610612754;38;38;22;21
22200590;1610612747;37;33;28;32
22200590;1610612737;28;21;33;32
22200755;1610612749;37;25;44;29
22200755;1610612740;19;25;44;22
22200909;1610612762;24;31;30;33
22200909;1610612759;33;32;14;23
22200153;1610612750;29;23;28;27
22200153;1610612752;38;38;27;17
22200849;1610612764;37;43;24;23
22200849;1610612754;29;28;31;25
22201184;1610612763;41;25;30;23
22201184;1610612757;25;37;33;14
22201121;1610612744;29;26;18;23
22201121;1610612750;29;24;24;22
22200323;1610612758;33;29;44;31
22200323;1610612754;20;28;35;31
22200759;1610612760;20;28;37;35
22200759;1610612744;38;25;31;34
22200784;1610612749;15;34;29;28
22200784;1610612746;24;32;31;18
22200136;1610612749;34;33;26;15
22200136;1610612760;34;19;25;16
22201047;1610612766;29;25;13;15
22201047;1610612755;31;35;26;29
22200518;1610612748;33;28;34;17
22200518;1610612747;25;27;26;20
22200967;1610612745;38;35;35;34
22200967;1610612759;24;39;24;23
22200686;1610612742;31;29;32;23
22200686;1610612748;19;32;16;23
22200957;1610612739;24;30;42;18
22200957;1610612765;21;24;22;23
22200667;1610612743;34;39;28;21
22200667;1610612757;31;36;22;24
22200834;1610612747;31;27;23;25
22200834;1610612749;26;24;38;27
22200253;1610612740;35;30;32;31
22200253;1610612744;16;25;24;18
22200864;1610612760;25;26;22;27
22200864;1610612740;33;27;16;27
22201156;1610612763;21;34;31;22
22201156;1610612746;34;17;21;22
22200875;1610612755;38;25;24;31
22200875;1610612739;24;14;32;42
22200259;1610612756;26;27;33;29
22200259;1610612747;22;33;24;26
22200933;1610612766;22;19;32;18
22200933;1610612756;27;30;22;26
22200846;1610612751;28;32;22;16
22200846;1610612755;26;26;24;25
22200282;1610612759;21;20;34;19
22200282;1610612747;33;26;20;26
22200251;1610612749;30;33;30;26
22200251;1610612757;32;29;18;32
22201116;1610612738;30;38;28;41
22201116;1610612759;32;26;19;16
22200441;1610612745;27;24;14;30
22200441;1610612757;33;24;28;22
22200589;1610612756;23;23;27;23
22200589;1610612748;30;21;27;26
22200880;1610612760;38;38;40;17
22200880;1610612745;21;33;24;18
22200294;1610612738;35;37;41;17
22200294;1610612764;26;29;33;33
22200434;1610612741;32;21;22;16
22200434;1610612752;29;29;29;27
22200357;1610612763;27;31;24;19
22200357;1610612748;32;19;26;16
22200841;1610612763;31;38;34;25
22200841;1610612750;32;26;28;21
22200612;1610612755;27;38;42;40
22200612;1610612765;20;23;32;41
22201018;1610612759;19;28;24;19
22201018;1610612760;29;23;26;24
22200336;1610612744;35;28;33;23
22200336;1610612741;33;19;30;29
22200721;1610612755;41;34;32;30
22200721;1610612751;41;24;33;35
22200778;1610612754;35;32;29;15
22200778;1610612747;30;24;30;28
22201152;1610612738;27;30;36;29
22201152;1610612762;29;22;27;36
22200474;1610612760;22;27;29;23
22200474;1610612757;32;22;24;20
22201198;1610612755;31;15;32;23
22201198;1610612748;41;26;29;33
22200639;1610612746;34;24;23;22
22200639;1610612743;32;25;29;29
22201222;1610612764;39;28;18;24
22201222;1610612745;31;24;32;27
22200931;1610612744;27;21;39;36
22200931;1610612757;41;24;17;23
22200293;1610612737;31;29;21;17
22200293;1610612748;23;28;34;21
22201168;1610612752;34;19;33;32
22201168;1610612764;31;30;18;30
22200073;1610612761;26;22;22;20
22200073;1610612755;28;37;16;31
22200495;1610612738;36;26;38;39
22200495;1610612749;28;33;25;32
22200180;1610612759;31;23;29;28
22200180;1610612749;27;19;30;17
22200037;1610612747;24;24;35;21
22200037;1610612757;32;23;23;28
22200191;1610612740;34;29;23;33
22200191;1610612745;26;24;37;19
22200936;1610612748;38;15;24;19
22200936;1610612755;34;37;25;23
22200168;1610612760;27;28;32;32
22200168;1610612749;27;28;29;35
22200850;1610612737;32;29;32;32
22200850;1610612759;31;29;17;29
22200599;1610612748;30;34;18;19
22200599;1610612751;31;35;13;23
22200382;1610612755;31;30;32;27
22200382;1610612747;20;39;24;37
22200719;1610612747;30;24;28;33
22200719;1610612746;37;40;21;35
22200394;1610612757;32;33;29;30
22200394;1610612750;27;39;26;26
22200603;1610612756;26;28;25;19
22200603;1610612739;35;22;23;32
22201181;1610612755;28;25;19;31
22201181;1610612738;22;24;21;34
22200313;1610612753;27;23;26;32
22200313;1610612737;38;32;30;25
22200193;1610612739;20;30;34;40
22200193;1610612750;40;27;37;25
22200018;1610612754;26;29;30;49
22200018;1610612759;36;34;32;35
22200147;1610612754;32;26;42;29
22200147;1610612740;30;25;36;31
22200410;1610612749;38;26;31;33
22200410;1610612744;27;25;25;34
22200852;1610612739;26;14;29;28
22200852;1610612741;29;20;25;15
22200519;1610612741;28;29;22;27
22200519;1610612749;32;23;27;24
22200285;1610612746;26;26;25;27
22200285;1610612743;31;33;23;27
22200036;1610612758;26;29;25;29
22200036;1610612746;29;23;34;25
22200570;1610612741;40;29;19;33
22200570;1610612751;33;26;26;27
22200082;1610612766;34;28;18;27
22200082;1610612744;23;27;33;24
22200221;1610612757;28;33;21;25
22200221;1610612751;28;29;28;24
22200710;1610612762;21;37;31;31
22200710;1610612766;24;21;34;23
22201217;1610612751;21;32;39;13
22201217;1610612755;36;25;39;34
22200631;1610612757;32;26;33;22
22200631;1610612739;27;24;36;32
22200402;1610612754;19;23;22;18
22200402;1610612748;26;21;20;20
22200485;1610612752;22;38;32;25
22200485;1610612741;29;29;31;29
22200346;1610612751;27;23;19;23
22200346;1610612738;35;27;13;28
22200112;1610612745;24;29;26;22
22200112;1610612746;34;22;30;23
22200659;1610612752;25;34;28;23
22200659;1610612761;29;27;25;29
22200019;1610612764;26;30;21;25
22200019;1610612741;30;20;24;26
22201078;1610612737;38;28;33;30
22201078;1610612765;32;27;19;29
22200256;1610612755;33;30;22;30
22200256;1610612751;26;31;25;24
22201104;1610612757;26;19;27;24
22201104;1610612741;26;35;33;30
22200177;1610612753;30;28;29;27
22200177;1610612756;23;29;22;23
22200583;1610612749;28;32;27;22
22200583;1610612766;51;33;28;26
22201143;1610612759;33;29;26;29
22201143;1610612762;36;28;29;35
22200249;1610612754;27;27;32;37
22200249;1610612753;28;17;22;35
22200335;1610612762;35;40;26;38
22200335;1610612754;24;35;22;38
22200597;1610612761;34;24;31;28
22200597;1610612757;27;26;21;31
22200347;1610612765;26;31;26;29
22200347;1610612763;40;29;32;21
22200977;1610612765;18;33;23;30
22200977;1610612757;31;28;30;21
22200122;1610612755;22;31;30;21
22200122;1610612752;21;37;16;32
22200206;1610612740;32;27;30;24
22200206;1610612763;35;25;27;15
22201131;1610612737;24;35;35;26
22201131;1610612739;24;27;33;34
22201139;1610612755;28;29;32;27
22201139;1610612742;37;25;29;17
22200795;1610612752;28;28;25;34
22200795;1610612746;36;27;33;19
22201195;1610612742;28;32;32;31
22201195;1610612758;27;44;21;27
22200701;1610612742;20;34;25;19
22200701;1610612746;22;27;30;33
22200004;1610612754;25;27;25;30
22200004;1610612764;36;24;27;27
22200578;1610612745;23;33;30;28
22200578;1610612762;31;33;31;36
22200704;1610612744;33;39;18;26
22200704;1610612751;28;32;26;34
22200030;1610612753;33;35;26;26
22200030;1610612738;36;32;31;27
22201166;1610612750;29;33;24;19
22201166;1610612757;31;25;26;25
22201202;1610612766;26;23;24;36
22201202;1610612745;25;30;30;27
22201101;1610612742;26;29;32;22
22201101;1610612766;37;32;26;22
22200722;1610612745;30;28;23;22
22200722;1610612764;25;18;28;37
22200227;1610612741;24;28;27;28
