,0022201222,0022201222
,1610612764,1610612745
0,"{'period': 1, 'periodType': 'REGULAR', 'score': 39}","{'period': 1, 'periodType': 'REGULAR', 'score': 31}"
1,"{'period': 2, 'periodType': 'REGULAR', 'score': 28}","{'period': 2, 'periodType': 'REGULAR', 'score': 24}"
2,"{'period': 3, 'periodType': 'REGULAR', 'score': 18}","{'period': 3, 'periodType': 'REGULAR', 'score': 32}"
3,"{'period': 4, 'periodType': 'REGULAR', 'score': 24}","{'period': 4, 'periodType': 'REGULAR', 'score': 27}"
